//NbLocations 
400 
 
//NbProducts 
313 
 
//K: NbBoxesTrolley 
6 
 
//NbDimensionsCapacity 
2 
 
//B: CapaBox 
12000 92160 
 
//A box can accept mixed orders(0: no, 1: yes) 
0 
 
//Products 
//Idx Location Dim1 Dim2 ... 
1 1 244 2640 

 
//Orders 
//NbOrders 
6 
//Idx M NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ... 
1 9 91 1 1 6 4 8 1 22 1 35 2 37 2 40 1 51 2 94 1 107 2 108 1 115 1 116 1 120 1 121 1 133 1 134 1 135 2 136 1 137 1 138 1 139 1 140 1 142 2 143 1 144 2 147 2 149 1 150 4 151 2 153 1 154 1 155 4 156 2 158 1 163 2 168 6 172 1 174 2 177 4 164 2 165 4 166 2 190 4 199 1 167 3 217 5 219 4 221 1 222 1 225 2 227 4 228 1 229 4 242 1 246 1 207 2 209 1 251 2 252 1 239 1 257 1 258 2 260 1 261 1 12 1 33 2 262 1 80 1 81 1 42 2 82 1 45 1 83 2 48 2 49 1 265 1 269 1 272 1 273 2 274 1 93 1 278 1 282 1 193 1 208 2 248 1 250 1 287 1 288 2 289 5 
2 14 142 1 1 6 3 15 1 17 1 21 1 22 1 24 1 30 2 37 3 55 1 12 1 58 1 25 1 59 1 60 1 33 2 62 1 63 2 66 1 69 1 48 2 74 1 35 4 39 1 67 2 40 1 79 2 44 4 47 2 86 2 87 2 94 1 95 1 96 1 101 1 104 1 105 1 106 1 107 2 108 1 109 1 110 1 111 1 114 2 115 1 120 1 121 1 129 1 130 1 131 1 134 1 135 3 136 1 150 3 151 2 155 2 156 4 157 1 158 2 160 1 161 2 162 1 170 3 172 2 173 1 174 1 140 1 175 2 176 1 179 1 181 1 182 3 183 3 184 1 144 3 185 1 186 1 188 2 147 3 148 3 177 1 190 6 198 3 199 3 167 4 168 7 164 3 165 1 196 1 213 2 215 1 217 3 197 1 219 2 223 1 225 1 226 2 227 3 193 1 242 3 243 1 204 2 205 1 245 1 206 1 207 2 208 2 209 1 247 1 234 2 235 1 249 1 236 1 253 1 254 1 255 1 240 1 256 3 259 2 42 2 70 1 266 1 268 1 269 1 270 1 278 1 260 1 292 1 89 2 294 1 76 1 296 3 273 4 92 1 228 3 229 3 304 1 307 2 287 2 289 4 299 2 301 2 
3 11 118 2 1 7 1 9 1 10 2 11 1 12 1 13 1 14 1 18 1 23 1 31 1 32 1 33 2 38 1 41 1 48 2 50 1 54 1 28 1 29 1 30 2 37 2 39 2 40 1 51 1 82 2 44 2 84 1 49 1 88 1 92 1 99 1 100 1 104 2 106 1 107 2 108 1 109 1 119 1 121 1 122 1 124 2 130 1 131 1 134 1 135 2 136 1 138 1 148 1 150 1 153 1 160 1 161 2 163 2 164 1 165 2 166 2 167 4 168 2 169 1 171 1 172 1 174 1 140 2 175 2 141 1 142 2 180 1 143 2 182 1 183 1 144 2 185 1 188 1 189 1 191 1 147 2 192 1 193 1 196 2 213 1 214 2 216 1 197 1 219 1 221 1 223 2 226 6 227 1 42 2 267 1 269 1 270 1 271 1 275 1 280 1 281 1 285 1 286 2 207 2 208 2 76 1 296 3 272 1 273 1 274 1 244 4 228 1 297 1 302 2 303 1 246 1 209 1 308 1 311 1 239 2 241 1 260 2 
4 13 126 3 1 6 1 29 1 30 1 37 1 39 1 40 2 43 1 44 1 45 2 46 1 47 1 49 1 56 1 57 1 12 1 13 1 61 1 33 2 64 1 65 1 68 1 48 2 71 1 72 1 73 1 75 1 103 1 106 2 107 2 108 1 109 2 110 1 111 1 117 2 121 2 123 1 127 1 129 1 130 2 134 1 135 3 137 2 148 1 150 6 151 3 152 3 155 1 156 3 158 1 159 1 160 4 161 4 163 6 138 1 139 1 140 2 175 2 176 2 178 1 143 3 182 1 184 1 144 3 187 1 189 1 147 3 168 6 169 4 170 2 172 5 174 6 193 1 194 1 177 2 166 3 190 7 198 3 200 5 210 1 165 3 211 1 212 4 196 3 213 1 217 3 197 2 218 2 219 5 221 1 222 2 225 3 226 7 227 1 244 2 229 7 42 2 264 1 269 1 271 1 283 1 284 1 207 3 208 2 87 1 90 2 248 1 250 1 288 2 289 6 299 2 301 1 245 1 305 1 209 1 306 1 237 1 308 1 309 1 310 1 252 1 311 1 300 1 312 1 259 2 313 1 
5 17 133 3 2 6 3 19 1 21 2 22 1 26 1 28 1 29 1 36 1 37 1 5 1 52 1 57 1 12 1 58 1 30 5 32 1 33 2 42 2 70 1 48 2 76 1 77 1 35 1 39 1 67 2 40 2 80 1 81 2 82 1 44 4 45 1 86 1 89 1 90 4 91 1 93 4 98 1 102 1 105 1 106 2 107 2 108 1 113 1 114 2 117 1 121 1 126 1 128 1 129 1 132 1 134 1 135 3 136 1 147 3 148 2 150 1 152 3 154 1 155 2 158 7 159 1 160 5 161 4 162 3 156 2 157 1 163 4 169 9 170 1 172 6 174 5 194 7 195 1 177 4 164 1 165 2 196 1 182 1 184 1 144 3 185 1 197 3 188 2 166 1 190 7 198 4 167 7 168 7 192 1 193 1 201 1 202 1 203 1 204 1 205 1 206 1 207 3 208 2 209 1 213 2 214 3 217 7 219 9 221 2 222 3 223 2 225 7 226 3 227 1 229 3 248 1 250 7 269 1 295 2 296 2 271 1 272 1 273 3 287 3 298 1 236 1 289 2 290 1 239 1 300 1 240 3 256 1 258 1 301 1 259 2 260 1 292 1 
6 12 106 4 1 5 1 11 1 12 1 16 1 20 1 23 1 25 1 27 1 33 2 34 1 42 2 48 2 50 1 6 2 53 1 54 2 24 1 28 3 30 2 67 4 51 1 40 1 78 1 47 2 83 2 85 1 97 1 106 3 112 1 118 1 124 2 125 1 128 1 130 2 133 1 134 1 136 1 138 1 139 1 141 1 145 1 146 1 148 2 150 5 151 4 152 1 156 4 158 3 159 1 160 2 161 3 162 1 163 4 177 4 190 7 168 9 172 3 165 3 196 4 180 1 217 4 144 2 192 1 219 2 220 1 201 1 222 5 224 1 225 5 204 2 230 1 231 1 207 2 208 2 232 1 233 1 209 1 234 1 235 1 236 1 237 1 238 1 239 1 240 1 241 2 226 7 227 1 244 9 263 1 70 1 269 1 271 1 276 1 277 1 279 1 290 1 291 1 259 1 293 1 45 2 273 1 92 1 229 4 248 2 289 1 
 
//Graph (Products are vertices indexed from 1 to NbProducts) 
//NbVerticesIntersections 
157 
 
//DepartingDepot 
0 
 
//ArrivalDepot 
401 
 
//Arcs 
//Start End Distance 
0 244 5000 
0 246 5000 
0 248 5000 
0 250 5000 
0 252 5000 
0 254 5000 
0 256 5000 
0 258 5000 
0 260 5000 
0 262 5000 
0 264 5000 
0 266 5000 
1 268 330 
2 3 0 
3 245 0 
4 5 45 
4 23 330 
5 6 135 
5 22 330 
6 7 90 
6 270 330 
7 8 45 
7 271 330 
8 9 45 
8 272 330 
9 10 45 
9 273 330 
10 11 180 
10 21 330 
11 12 45 
11 20 330 
12 13 135 
12 19 330 
13 14 45 
13 274 330 
14 275 330 
14 279 45 
15 276 330 
15 278 135 
16 17 45 
17 276 135 
18 275 45 
19 20 45 
20 21 180 
21 273 45 
22 23 45 
23 24 0 
24 247 0 
25 26 90 
25 45 330 
26 44 330 
26 292 45 
27 28 90 
27 280 330 
28 29 45 
28 281 330 
29 30 45 
29 282 330 
30 31 45 
30 283 330 
31 42 330 
31 291 90 
32 33 45 
32 284 330 
33 285 330 
33 290 45 
34 39 330 
34 289 45 
35 36 90 
35 286 330 
36 287 330 
37 38 45 
38 39 45 
39 40 45 
40 285 45 
41 42 90 
42 283 45 
43 44 45 
44 45 90 
45 46 45 
46 249 90 
47 48 45 
47 75 460 
48 49 45 
48 294 460 
49 50 90 
49 74 460 
50 51 90 
50 295 460 
51 52 45 
51 73 460 
52 53 90 
52 72 460 
53 71 460 
53 308 45 
54 296 460 
54 307 45 
55 56 45 
55 297 460 
56 57 45 
56 66 460 
57 58 45 
57 65 460 
58 298 460 
58 304 45 
59 60 45 
59 299 460 
60 61 45 
60 300 460 
61 301 460 
61 302 45 
62 301 45 
63 64 45 
64 298 45 
65 66 45 
66 297 45 
67 68 45 
68 69 45 
69 296 45 
70 71 45 
71 72 90 
72 73 45 
73 295 90 
74 294 45 
75 76 0 
76 251 0 

 
//LocStart LocEnd ShortestPath 
0 1 5540 
0 2 5330 
0 3 5330 
0 4 5000 
0 5 5045 
0 6 5180 
0 7 5270 
0 8 5315 
0 9 5360 
0 10 5405 
0 11 5585 
0 12 5630 
0 13 5765 
0 14 5810 
0 15 5900 
0 16 6410 
0 17 6365 
0 18 6185 
0 19 5960 
0 20 5915 
0 21 5735 
0 22 5375 
0 23 5330 
0 24 5330 
0 25 5135 
0 26 5225 
0 27 5450 
0 28 5540 
0 29 5585 
0 30 5630 
0 31 5675 
0 32 5810 
0 33 5855 
0 34 5945 
0 35 6080 
0 36 6170 
0 37 6365 
0 38 6320 
0 39 6275 
0 40 6230 
0 41 6095 
0 42 6005 
0 43 5600 
0 44 5555 
0 45 5465 
0 46 5420 
0 47 5000 
0 48 5045 
0 49 5090 
0 50 5180 
0 51 5270 
0 52 5315 
0 53 5405 
0 54 5495 
0 55 5765 
0 56 5810 
0 57 5855 
0 58 5900 
0 59 6035 
0 60 6080 
0 61 6125 
0 62 6630 
0 63 6450 
0 64 6405 
0 65 6315 
0 66 6270 
0 67 6090 
0 68 6045 
0 69 6000 
0 70 5910 
0 71 5865 
0 72 5775 
0 73 5730 
0 74 5550 
0 75 5460 
0 76 5460 
0 77 5000 
0 78 5180 
0 79 5225 
0 80 5315 
0 81 5450 
0 82 5585 
0 83 6080 
0 84 6455 
0 85 6275 
0 86 6140 
0 87 6050 
0 88 5780 
0 89 5735 
0 90 5645 
0 91 5600 
0 92 5510 
0 93 5375 
0 94 5970 
0 95 5745 
0 96 5700 
0 97 5000 
0 98 5045 
0 99 5315 
0 100 5450 
0 101 5585 
0 102 5675 
0 103 5765 
0 104 5855 
0 105 6035 
0 106 6215 
0 107 6305 
0 108 5000 
0 109 5090 
0 110 5180 
0 111 5270 
0 112 5360 
0 113 5405 
0 114 5450 
0 115 5540 
0 116 5585 
0 117 5630 
0 118 5675 
0 119 5720 
0 120 5765 
0 121 5855 
0 122 5900 
0 123 5945 
0 124 5990 
0 125 6125 
0 126 6170 
0 127 6215 
0 128 6305 
0 129 6350 
0 130 6545 
0 131 6500 
0 132 6275 
0 133 6140 
0 134 6050 
0 135 6005 
0 136 5870 
0 137 5780 
0 138 5690 
0 139 5645 
0 140 5420 
0 141 5375 
0 142 5045 
0 143 5090 
0 144 5135 
0 145 5180 
0 146 5225 
0 147 5270 
0 148 5315 
0 149 5450 
0 150 5495 
0 151 5540 
0 152 5585 
0 153 5630 
0 154 5675 
0 155 5720 
0 156 5765 
0 157 5945 
0 158 5990 
0 159 6035 
0 160 6080 
0 161 6125 
0 162 6170 
0 163 6215 
0 164 6350 
0 165 6395 
0 166 6845 
0 167 6800 
0 168 6755 
0 169 6710 
0 170 6620 
0 171 6575 
0 172 6530 
0 173 6305 
0 174 6260 
0 175 6170 
0 176 6080 
0 177 6035 
0 178 5945 
0 179 5900 
0 180 5855 
0 181 5810 
0 182 5765 
0 183 5675 
0 184 5630 
0 185 5495 
0 186 5450 
0 187 5450 
0 188 5450 
0 189 5180 
0 190 5270 
0 191 5315 
0 192 5405 
0 193 5495 
0 194 5540 
0 195 5675 
0 196 5720 
0 197 5765 
0 198 5810 
0 199 5945 
0 200 6545 
0 201 6365 
0 202 6230 
0 203 6095 
0 204 6050 
0 205 6005 
0 206 5960 
0 207 5780 
0 208 5645 
0 209 5510 
0 210 5420 
0 211 5375 
0 212 5330 
0 213 5330 
0 214 5330 
0 215 5330 
0 216 5330 
0 217 5330 
0 218 5000 
0 219 5045 
0 220 5090 
0 221 5135 
0 222 5270 
0 223 5360 
0 224 5450 
0 225 5495 
0 226 5585 
0 227 5630 
0 228 5675 
0 229 5765 
0 230 5810 
0 231 5900 
0 232 5945 
0 233 6080 
0 234 6725 
0 235 6680 
0 236 6365 
0 237 6320 
0 238 6185 
0 239 6005 
0 240 5870 
0 241 5330 
0 242 5330 
0 243 5330 
0 244 5000 
0 245 5330 
0 246 5000 
0 247 5330 
0 248 5000 
0 249 5330 
0 250 5000 
0 251 5460 
0 252 5000 
0 253 5330 
0 254 5000 
0 255 5520 
0 256 5000 
0 257 5520 
0 258 5000 
0 259 5330 
0 260 5000 
0 261 5450 
0 262 5000 
0 263 5330 
0 264 5000 
0 265 5330 
0 266 5000 
0 267 5330 
0 268 5870 
0 269 5000 
0 270 5510 
0 271 5600 
0 272 5645 
0 273 5690 
0 274 6095 
0 275 6140 
0 276 6230 
0 277 6080 
0 278 6035 
0 279 5855 
0 280 5780 
0 281 5870 
0 282 5915 
0 283 5960 
0 284 6140 
0 285 6185 
0 286 6410 
